id,name,trusted,open_vacancies
39601,"Цифрал-Сервис",1,1
40060,"НТА",1,1
40662,"Kolesa Group",1,2
40754,"Далее",1,1
40791,"Группа компаний ITPS",1,1
40825,"Поиск,кадровое агентство",1,1
40826,"Группа компаний МЕГАПОЛИС",1,1
40912,"БИФИТ",1,1
40938,"Улыбка радуги",1,2
41144,"АСКОН",1,15
41296,"Группа СМП Банк",1,1
41512,"ФАРМПЕРСПЕКТИВА",1,5
41920,"Maison DELLOS",1,1
42000,Netris,1,1
42080,"Такском",1,3
42159,"Велком",1,3
42202,"ГК Аккорд",1,2
43249,"АЛЕКСАНДР - НЕДВИЖИМОСТЬ",1,1
43906,"Элвес",1,4
44272,"ЭР-Телеком",1,2
44611,"НИАРМЕДИК",1,1
44748,"Санкт-Петербургский Гуманитарный университет профсоюзов",1,1
44877,"Объединенные кондитеры",1,1
45036,"Компания Выбор",1,1
45223,"Группа Компаний МонАрх",1,1
45466,"ДП Бизнес Пресс",1,1
45643,"НПП Полигон",1,1
45732,DIMEX,1,1
45999,"Доминион",1,1
46465,"Алмазэргиэнбанк АКБ",1,2
46587,"Сима-ленд",1,9
46674,"RuSoft company",1,1
46821,ALDA,1,1
47062,"Tumlare Corporation",1,1
47100,"Самарский Деловой Мир, группа компаний",1,1
47160,"Данафлекс",1,3
47407,"Консалтинговый Центр «Вакансия Плюс»",1,1
47781,"ЕРЦ",1,1
47809,"ИТРИУМ",1,1
47818,"Айтекс, Центр Информационных Технологий",1,2
47939,"Ак Барс Банк",1,2
48037,"СИСТЕМА",1,1
48167,"ИНСИС",1,1
48184,"Кадровое агентство Алексея Сухорукова",1,5
48494,Mosline,1,1
48497,"Экстего",1,1
48609,"Раздолье Группа Компаний",1,1
48935,"Издательский Дом Мещерякова",1,1
49019,"Совплим",1,1
49113,Rusonyx,1,1
49202,Ruport,1,1
49357,"МАГНИТ, Розничная сеть",1,11
49370,"МАКОН Консалтинг",1,1
49594,"Цитадель, Общероссийская Дверная Биржа",1,1
49784,"Красный Яр, Сеть Гастрономов",1,2
49792,"РАФЭЛ",1,1
50071,"Финансовые Информационные Системы",1,6
50153,Avtofurgon,1,1
50355,"Бигам, компания",1,2
50616,"Мегастрой",1,1
50629,"AG Deltaplan",1,2
50771,"People group, центр подбора и развития персонала",1,1
51108,"Новая больница, Медицинское объединение",1,1
51162,UFS.travel,1,1
51296,MARMALATO,1,1
51420,"КБ Пойдём!",1,1
51630,"Группа компаний Торговый дом Вишера",1,1
51900,"Siberian Wellness",1,2
52389,"ЦУМ, ТД",1,1
52510,"Компания Стек",1,4
52511,"ХОСТ, Группа компаний",1,12
52529,"Биржа ""Санкт-Петербург""",1,1
52582,"Смартек",1,1
52719,"Орматек, ГК",1,4
52839,"КЛЮЧАВТО",1,3
52951,"КАМАЗ",1,1
53417,Henderson,1,1
53512,"АСТЕХ",1,1
53592,"Татспиртпром",1,5
53797,"ЭФКО, Управляющая компания",1,10
53981,"АйТи Тех",1,1
54376,"Строймастер",1,1
54659,"Практик-Центр",1,1
55126,"Научно-производственный комплекс ВИП",1,1
55307,"Рубеж, Группа компаний",1,2
55447,"Комита, АО (Санкт-Петербург)",1,1
55795,Intratool,1,1
56166,Ersta,1,1
56171,"Макси, торговая компания",1,2
56242,"ОМТ-Консалт, Группа компаний",1,2
57073,OmniLine,1,3
57092,"Компания Колорлон",1,1
57325,"ПИК-Комфорт",1,1
57770,"Мария-Ра",1,5
58320,"Россельхозбанк",1,6
58500,"Содружество, Группа компаний",1,1
59378,MST,1,2
59731,"Метод.ру",1,1
59960,"Шкуренко, Торговый дом",1,1
60326,"АНАЛИТИКА",1,3
60689,"Сканэкс, ИТЦ",1,1
61017,"Новый Уровень",1,2
62028,"Современные решения",1,1
62752,"Комформ",1,1
63290,"ГиперМетод",1,1
63519,"Микрофинансовая организация KMF(КМФ)",1,1
63660,"Центр правового обеспечения природопользования",1,1
64751,"Тамерлан",1,2
65068,"Сайтсофт",1,1
65520,"Запсибкомбанк",1,1
65660,"Максимум, Автомобильный холдинг",1,12
66121,"ВАВТ МИНЭКОНОМРАЗВИТИЯ РОССИИ",1,1
67181,"УРАЛХИМ",1,2
67383,"Транстелеком",1,1
67408,"Интерлизинг",1,2
67611,"Тензор",1,7
67843,"Элком +",1,1
67930,"ДОМИНАНТ ГК",1,1
68170,Cotecna,1,1
68411,KASSIR.RU,1,1
68556,"Syntellect (ООО СИНТЕЛЛЕКТ)",1,5
68644,"Kulan Oil",1,1
68963,"НК Групп",1,1
69519,"Фьюз Эйт Онлайн",1,3
71466,"Группа М",1,1
71518,Artsofte,1,1
72126,"ВЕРТИКАЛЬ",1,1
72386,"Добрынинский, Комбинат мучнисто-кондитерских изделий",1,2
72404,"МЮЗ",1,1
72444,"Волховец, Группа компаний",1,2
72568,"Альянс Авто, Холдинг",1,1
72977,"БАРС Груп",1,3
72995,"АДАМАС",1,1
73587,"АВТОДОМ - Санкт-Петербург, автоцентр",1,2
74968,"Северен Телеком",1,1
75561,"ТрансТехСервис, УК",1,3
76650,"iiko, Компания Aйко",1,1
77510,"РК-ТЕХНОЛОГИИ",1,1
78190,"Десятка, Группа компаний",1,1
78494,"Центр-Интернет",1,1
78627,"Artics Internet Solutions",1,1
78638,"Тинькофф",1,1
79437,"НоваКард",1,1
79595,Broadridge,1,2
80284,"Р52.РУ",1,1
80389,"ЭВРИКА, Санкт-Петербург",1,1
80660,Boxberry,1,1
80981,"Национальный исследовательский университет Высшая школа экономики",1,3
81064,"The Risk Advisory Group plc",1,1
81077,oodji,1,1
81214,"ПартКом",1,2
81283,"Российский Университет Кооперации - Центросоюз РФ",1,1
83056,Action,1,2
83085,"РИФАРМ",1,1
83210,"КАШЕМИР И ШЕЛК",1,2
83826,"Yusen Logistics Rus (Юсен Лоджистикс Рус )",1,1
83871,"Маркетинг Солюшнз",1,1
87322,"Регистратор доменных имен РЕГ.РУ",1,5
87334,"КайКом экспертс",1,1
87486,"Евросвет",1,2
88127,"Финансовое Агентство по Сбору Платежей",1,1
88618,"Автостэлс",1,2
88770,"Профит-Лига",1,1
89537,"Adecco Russia",1,1
89953,FunBox,1,20
90105,"West Concept",1,2
90539,"Монолит-Инфо",1,1
91642,"DDB Russia",1,1
91643,"Петровский автоцентр",1,1
91926,"НОВЭКС",1,1
92258,"Север Авто М",1,4
92525,"Стройметиз",1,1
93291,Serenity,1,1
94232,"БРПИ",1,1
94558,"Флэт-интерьеры, салон мебели премиум-класса",1,1
96379,"ИРВИН 2",1,2
96986,"Аксель, Группа компаний",1,2
97398,"Авангард",1,1
97954,"5КОЛЕСО",1,1
98302,"Кадровое Агентство Уникальных Специалистов",1,2
98393,"ГК ТВЕМА",1,2
99061,"Эй-Пи Трейд",1,5
99455,"КБ Республиканский Кредитный Альянс",1,1
99759,"Гознак",1,1
99993,"МодульБанк",1,2
100424,"Единая электронная торговая площадка, АО (группа ВТБ)",1,1
100889,"Ладомед",1,1
101061,"Итальянский дворик и Милавица",1,1
101316,"Интерра",1,1
102441,"КуулКлевер (МясновЪ, Отдохни)",1,1
102706,"АЛЬФАСКАН",1,3
103561,"Тelecontact",1,2
103905,"КОНТИНЕНТ",1,1
103944,"РТИ",1,3
104017,"Группа Компаний Ярошенко Сергей Анатольевич",1,1
104085,"Многопрофильная клиника «Скандинавия». Клиника репродукции «Скандинавия АВА-ПЕТЕР»",1,1
104309,"Мясницкий ряд",1,10
104953,"BNS Group",1,1
106564,"Московское речное пароходство",1,1
108082,"ФомЛайн",1,3
108647,"Росводоканал,ООО",1,2
109956,Finch,1,2
111982,"ГАРАНТ - СЕРВИС",1,1
113313,"Инрэко ЛАН",1,12
113614,iTrack,1,1
114790,"Системный Специалист, группа компаний",1,1
115911,"Энтерра",1,1
115972,"Хомнет, Группа Компаний",1,1
117243,"Консультант НПО",1,1
117262,"FIRCROFT ENGINEERING SERVICES LIMITED, KAZAKHSTAN",1,1
117646,"DIGIMATIX (ex.AlkoDesign)",1,1
118043,"Формула Торговли",1,1
118267,"КАРЬЕРА-Recruitment, Рекрутинговое агентство",1,1
119095,"Инвестиционно-венчурный фонд РТ",1,1
119183,"АСТЕХ Индастриз",1,1
119686,"Фирма Нектар",1,1
120324,"ПОРЯДОК, Группа компаний",1,1
120547,"ШИНСЕРВИС",1,1
120618,ETNA,1,1
120909,"Центр Содружества",1,2
122070,"НИИССУ",1,2
124322,"ПИГМЕНТ",1,1
124344,"Интеллектика",1,1
124473,"SSP SOFTWARE",1,2
125462,"ПКБ",1,2
126025,"Рельеф-Центр",1,2
126068,"Мегаполис",1,1
126440,"Кадровое агентство «Феникс»",1,4
126634,"Миатон",1,1
127256,"Университет СИНЕРГИЯ",1,3
128241,AMarkets,1,1
129011,"ИндексБокс",1,2
129338,"Кронос",1,1
129734,"Европейская Юридическая Служба, Компания",1,2
130150,"Моё дело",1,6
131812,"Еврохимсервис",1,1
132139,"Зитар",1,1
132262,"Альфа-Прибор, АО",1,1
132717,"Южные Ворота, управляющая компания",1,1
132923,"FusionLab (ФьюжнЛаб)",1,1
133049,"Центр Красоты и Здоровья НикОль",1,1
133323,"ВитаСофт",1,1
133609,"Командор, Мебельная компания",1,2
134237,"GROHE, Компания",1,1
136144,"DM Basis",1,3
136171,"Нефтеавтоматика",1,1
136475,"Командор, сеть супермаркетов",1,2
138191,"Константа",1,3
138511,"Тесуджи",1,1
138642,"РЕТ",1,1
140280,"МК Сервис",1,1
140735,"Столыпинъ, МАК",1,1
140898,"КАРАВАЙ, группа компаний",1,1
140987,"Группа компаний «Эталон»",1,1
142683,"Семейный доктор",1,1
143034,"Агроресурсы",1,1
143376,"Алкогольная компания «Ретро»",1,1
143833,"Интерсвязь",1,1
144047,"САФИБ",1,3
144335,"Группа компаний OPEN",1,1
144478,"ФРЕГАТ",1,1
144828,"Магнат",1,1
145740,"Режевской кабельный завод",1,1
145779,"Гулливер, сеть супермаркетов",1,3
147219,"Магистраль-НН",1,4
147377,SquareGPS,1,1
149015,"Автомобильная-Медиа-Группа",1,1
149191,"Сталепромышленная компания",1,1
149766,"Владзернопродукт, ПОВО",1,1
150451,"Коста, информационные технологии",1,1
151114,"Мир дверей",1,1
151912,"METROFASHION, сеть магазинов одежды",1,1
152063,"Сеть городских порталов Shkulev Media Holding",1,1
152065,"Полипласт",1,1
152673,"Электротехническая компания-Приборы Автоматики",1,1
153489,"Тавр, Ростовский колбасный завод",1,1
153505,"Profi Online Research",1,3
153817,"ИВС, Группа компаний",1,1
154832,VDcom,1,1
156046,"Крипто-Про, Компания",1,2
156205,its.agency,1,1
156424,"GDC (ICL Services)",1,5
157203,"ТЕЛЕКОНТАКТ",1,1
157215,"Федеральная сеть книжных магазинов Читай-город",1,6
157334,"Риваль, Торгово-промышленная группа",1,1
157761,"АКМЭ сервис",1,7
158156,"Департамент ИТ",1,1
158937,"Ванадий-Тула",1,1
160436,"Болид, НВП",1,1
161545,"Агентство страховых технологий",1,1
161989,INOSTUDIO,1,2
163362,"Очень Интересно",1,3
166140,COMPAREX,1,1
167333,"Управление информационными проектами",1,2
167824,Webmercs,1,1
169780,Innovasystem,1,2
169984,2RealLife,1,1
171758,"ФГУП РСВО",1,2
172161,"Респект",1,1
172343,"Аспект",1,2
173621,"Национальный Инновационный Центр",1,1
173832,"НТЦ АРГУС",1,1
174260,"«ТНС энерго Нижний Новгород»",1,1
175809,"ТелекомПлюс",1,1
176941,"Азиатско-Тихоокеанский Банк",1,12
176997,"ТК Яршинторг",1,2
177632,"Professional Staff Recruitment",1,1
177751,"Аптечная сеть Максавит и 36,7",1,4
178583,"МедЭксперт",1,3
178647,"Компания Гармония",1,1
178853,"Алмаз-Антей управленческое консультирование",1,1
178925,"Екассир",1,2
178937,"Алтайские колбасы (ТМ Барнаульский пищевик)",1,1
179009,"Миллениум, ГК",1,1
179033,"РБ-Софт",1,1
179533,"Моринформсистема-Агат, Концерн",1,1
180706,"ИнтерЛабс",1,1
181241,"ISBC, Company",1,3
182947,"АМИКО, Консалтинговая компания",1,1
183290,"айФлекс, компания",1,2
184800,"Группа компаний «ИНФОРСЕР»",1,2
185755,"Группа страховых компаний «Югория»",1,3
185790,"Рефсервис",1,1
188621,"ОМЕГА",1,1
189316,"АРКАДИЯ.РУ",1,1
191061,"Megaputer Intelligence, Компания",1,2
192540,"Идеал Маркет",1,1
192817,WSS-Consulting,1,3
193205,"Торговый Дом Морозова",1,1
194458,"Системные технологии, НПП",1,1
195471,"Форпост",1,1
195939,"ТГОК Ильменит",1,1
196262,"ФК Авикон",1,1
197135,"ИК СИБИНТЕК",1,2
200522,"СофтЭксперт, г. Тула",1,3
200650,"ЮРКОМП",1,1
200931,"Петрософт",1,2
201522,"ТСК Автомобильный",1,1
203430,Unigine,1,1
203987,"Россети Ленэнерго",1,1
204865,"X-Cart (ООО Креативные Технологии)",1,1
205152,Mindbox,1,1
205407,"Медтрейд",1,1
206458,ZELDIS,1,2
207060,"Группа компаний VEZU",1,1
207819,"Дельтаинком, ЦИТ",1,1
208189,"AKRON HOLDING",1,2
208576,"МойСклад",1,3
208707,"ВсеИнструменты.ру",1,3
213048,"Antegra consulting",1,1
214014,"Пермэнергосбыт",1,1
214154,"ГК АГАТ",1,1
215194,"Авто-Евро",1,7
216221,"ПЕРВОЕ РЕШЕНИЕ",1,3
216562,"ЕКА, Топливная компания",1,1
216583,"Содружество Авто-Альянс",1,1
218954,"Орион, официальный дилер Mercedes Benz",1,1
219286,"Фармаимпекс",1,1
220015,SETTLE,1,1
220731,"ПТПА",1,2
220892,"ОБИС",1,1
222884,"Группа компаний НГ-сервис",1,1
224317,"Группа компаний ЭРКАФАРМ ( аптечные сети Озерки, Доктор Столетов).",1,1
224897,"Максимастер",1,3
227046,"Орион телеком",1,4
227613,"Смарт Телеком",1,1
230159,"ТаймВэб",1,1
230743,"Siber Systems Inc",1,1
231166,"Отраслевой центр разработки и внедрения информационных систем / ОЦРВ",1,1
231418,"Компания Мария",1,1
232489,"АРЕС",1,3
232681,"ИДЕМ",1,1
235196,"ЛЕВОБЕРЕЖНЫЙ, Новосибирский социальный коммерческий банк",1,2
235256,"НП РКС Высшая Лига",1,1
237180,FundCount,1,2
238161,"СИГМА",1,1
238354,AGIMA,1,1
238357,"NLS Kazakhstan",1,1
238419,"Русские базовые информационные технологии, Научно-производственное объединение",1,3
240098,"СК УРАЛСИБ СТРАХОВАНИЕ",1,2
240394,"Аромат",1,1
241319,"Палитра",1,1
241584,"РегионКонсалт",1,3
242574,"Агропромкомплектация",1,2
243031,"Краснополянский керамический завод",1,2
243035,"Грамант",1,1
243760,"Экспертэкология",1,1
245592,"РОССКО",1,2
245594,"АгроТерра, группа компаний",1,1
247055,"Студия Клондайк",1,1
247751,"РАСОБИ",1,1
247902,"Инкаб",1,1
278499,"Alloy Software Inc.",1,1
297007,"НПК Морсвязьавтоматика",1,1
319071,"АВТОРАЙ",1,1
320191,"Стоматорг",1,1
328206,"Компания Инфострой",1,1
335913,"МИНИТЕХ",1,1
373146,SkyNet,1,1
383808,"Московская Пивоваренная Компания",1,1
419011,IT-Agency,1,3
426336,AdQuantum,1,2
445987,"Группа ЦДС",1,1
474523,"Софтваре девелопмент центр",1,1
479659,"Дуотек",1,2
527061,Novelty,1,1
534148,"Вебинар Технологии",1,1
534283,Searchinform,1,9
535997,"Телеканал Дождь",1,1
536301,"Корона Авто",1,2
537457,"ДИК, Торговая Компания",1,1
537491,"Интеллидженс",1,1
540035,"РИТЕЙЛ БРЕНД ХАУС",1,1
540377,"Нита-Фарм",1,1
541900,"ФГБУ ЦСМС",1,2
542758,"ЛЭСК",1,1
547916,"Frank RG",1,3
549228,"IBIS Moscow Paveletskaya Hotel (гостиница ИБИС Москва Павелецкая)",1,1
550096,"БиолоТ",1,1
550175,Cetera,1,1
550610,"ГЕБА",1,1
551368,"Лаборатория качества",1,1
555423,"Интис",1,1
555901,Tibbo,1,1
556447,Documentolog,1,1
557534,"АВАНГАРД",1,1
558077,"Киприно, Производственный холдинг",1,1
558433,"Мособлгаз",1,1
560944,"Юмасофт",1,1
562530,"Фармленд",1,1
564154,"Техностром",1,1
564903,"Эскаро Кемикал АС",1,1
565840,"Сбербанк АСТ",1,1
566127,"КРЗ, Многотраслевая производственная компания",1,1
566244,"Русь-Телеком",1,1
567065,"эдмин",1,10
567928,"TeamIdea (ООО ТИМИДЕЯ ГРУПП)",1,1
570957,"Simtech Development",1,30
571460,"Деловой Дом «Центр»",1,1
571752,"М.Б.А. Финансы",1,1
574211,"Netwrix Corporation",1,1
575665,"Татнефть",1,3
580263,"Севстар",1,1
580837,"Агент Плюс",1,1
584934,"ЮрСпектр",1,1
586731,"Капитал Лайф Страхование Жизни",1,1
586857,"Стройландия",1,1
587147,"ЦДУ ТЭК - филиал ФГБУ РЭА Минэнерго России",1,1
588795,"ММТР",1,1
590415,Yar-IT,1,1
591379,"2Nova Interactive",1,1
592261,"ПО Энергоресурс",1,1
592461,"Авто-Компонент ТД",1,1
593106,MASrc,1,1
593353,"Быков Я.А.",1,1
593938,"Billetkontoret A/S",1,2
594030,"BI Consult",1,1
594457,"Кредо-С",1,1
594824,"FLEETCOR Россия",1,1
596828,"Агат, Торговый Дом",1,1
597423,EXANTE,1,9
597793,Digital-lab,1,1
598439,"ЮВК-Консалт",1,1
598471,evrone.ru,1,1
599876,"Монлибон",1,1
600071,5LB,1,1
600885,"Объединенная двигателестроительная корпорация, управляющая компания",1,2
601044,"NO ONE",1,1
602711,"Омега",1,3
605364,"Информаудитсервис",1,3
