geoname_id,locale_code,continent_code,continent_name,country_iso_code,country_name,subdivision_1_iso_code,subdivision_1_name,subdivision_2_iso_code,subdivision_2_name,city_name,metro_code,time_zone,is_in_european_union
3369157,ru,AF,"Африка",ZA,"ЮАР",WC,"","","","Кейптаун","",Africa/Johannesburg,0
3374275,ru,AF,"Африка",CV,"Острова Зеленого Мыса",RG,"","","","","",Atlantic/Cape_Verde,0
3376223,ru,SA,"Южная Америка",GY,"Гайана",MA,"","","","","",America/Guyana,0
3389366,ru,SA,"Южная Америка",BR,"Бразилия",PE,"Пернамбуку","","","","",America/Recife,0
3392742,ru,SA,"Южная Америка",BR,"Бразилия",PB,"","","","Паулиста","",America/Fortaleza,0
3393098,ru,SA,"Южная Америка",BR,"Бразилия",PB,"","","","","",America/Recife,0
3393876,ru,SA,"Южная Америка",BR,"Бразилия",RN,"","","","","",America/Fortaleza,0
3397292,ru,SA,"Южная Америка",BR,"Бразилия",MA,"Мараньян","","","","",America/Fortaleza,0
3429863,ru,SA,"Южная Америка",AR,"Аргентина",B,"","","","","",America/Argentina/Buenos_Aires,0
3443280,ru,SA,"Южная Америка",UY,"Уругвай",FD,"","","","","",America/Montevideo,0
3445727,ru,SA,"Южная Америка",BR,"Бразилия",SP,"","","","","",America/Sao_Paulo,0
3446087,ru,SA,"Южная Америка",BR,"Бразилия",RS,"","","","","",America/Sao_Paulo,0
3447909,ru,SA,"Южная Америка",BR,"Бразилия",RS,"","","","","",America/Sao_Paulo,0
3447927,ru,SA,"Южная Америка",BR,"Бразилия",SC,"","","","","",America/Sao_Paulo,0
3449434,ru,SA,"Южная Америка",BR,"Бразилия",MG,"Минас-Жерайс","","","","",America/Sao_Paulo,0
3449672,ru,SA,"Южная Америка",BR,"Бразилия",BA,"","","","","",America/Bahia,0
3450225,ru,SA,"Южная Америка",BR,"Бразилия",SP,"","","","","",America/Sao_Paulo,0
3450806,ru,SA,"Южная Америка",BR,"Бразилия",MG,"Минас-Жерайс","","","","",America/Sao_Paulo,0
3455082,ru,SA,"Южная Америка",BR,"Бразилия",BA,"","","","","",America/Bahia,0
3458945,ru,SA,"Южная Америка",BR,"Бразилия",BA,"","","","","",America/Bahia,0
3459407,ru,SA,"Южная Америка",BR,"Бразилия",SP,"","","","","",America/Sao_Paulo,0
3459867,ru,SA,"Южная Америка",BR,"Бразилия",MG,"Минас-Жерайс","","","","",America/Sao_Paulo,0
3460588,ru,SA,"Южная Америка",BR,"Бразилия",MG,"Минас-Жерайс","","","","",America/Sao_Paulo,0
3460738,ru,SA,"Южная Америка",BR,"Бразилия",ES,"Эспириту-Санту","","","Итапемирин","",America/Sao_Paulo,0
3460817,ru,SA,"Южная Америка",BR,"Бразилия",MG,"Минас-Жерайс","","","Итамбакури","",America/Sao_Paulo,0
3460982,ru,SA,"Южная Америка",BR,"Бразилия",GO,"Гояс","","","","",America/Sao_Paulo,0
3461958,ru,SA,"Южная Америка",BR,"Бразилия",MG,"Минас-Жерайс","","","","",America/Sao_Paulo,0
3463303,ru,SA,"Южная Америка",BR,"Бразилия",PR,"","","","","",America/Sao_Paulo,0
3463447,ru,SA,"Южная Америка",BR,"Бразилия",MG,"Минас-Жерайс","","","","",America/Sao_Paulo,0
3463750,ru,SA,"Южная Америка",BR,"Бразилия",MG,"Минас-Жерайс","","","","",America/Sao_Paulo,0
3464105,ru,SA,"Южная Америка",BR,"Бразилия",MG,"Минас-Жерайс","","","","",America/Sao_Paulo,0
3465927,ru,SA,"Южная Америка",BR,"Бразилия",PR,"","","","Коломбо","",America/Sao_Paulo,0
3466351,ru,SA,"Южная Америка",BR,"Бразилия",SP,"","","","","",America/Sao_Paulo,0
3466680,ru,SA,"Южная Америка",BR,"Бразилия",MG,"Минас-Жерайс","","","","",America/Sao_Paulo,0
3467012,ru,SA,"Южная Америка",BR,"Бразилия",MG,"Минас-Жерайс","","","Карангола","",America/Sao_Paulo,0
3467687,ru,SA,"Южная Америка",BR,"Бразилия",GO,"Гояс","","","","",America/Sao_Paulo,0
3469456,ru,SA,"Южная Америка",BR,"Бразилия",GO,"Гояс","","","","",America/Sao_Paulo,0
3470117,ru,SA,"Южная Америка",BR,"Бразилия",MG,"Минас-Жерайс","","","","",America/Sao_Paulo,0
3470162,ru,SA,"Южная Америка",BR,"Бразилия",PR,"","","","","",America/Sao_Paulo,0
3472245,ru,SA,"Южная Америка",BR,"Бразилия",MG,"Минас-Жерайс","","","Андреландия","",America/Sao_Paulo,0
3493180,ru,NA,"Северная Америка",DO,"Доминиканская Республика",23,"","","","","",America/Santo_Domingo,0
3504077,ru,NA,"Северная Америка",DO,"Доминиканская Республика",10,"","","","","",America/Santo_Domingo,0
3512067,ru,NA,"Северная Америка",DO,"Доминиканская Республика",17,"","","","Бан","",America/Santo_Domingo,0
3519678,ru,NA,"Северная Америка",MX,"Мексика",HID,"","","","","",America/Mexico_City,0
3520922,ru,NA,"Северная Америка",MX,"Мексика",GRO,"","","","","",America/Mexico_City,0
3522505,ru,NA,"Северная Америка",MX,"Мексика",MOR,"","","","","",America/Mexico_City,0
3532414,ru,NA,"Северная Америка",MX,"Мексика",VER,"","","","","",America/Mexico_City,0
3533376,ru,NA,"Северная Америка",MX,"Мексика",VER,"","","","","",America/Mexico_City,0
3573885,ru,NA,"Северная Америка",TT,"Тринидад и Тобаго",CTT,"","","","","",America/Port_of_Spain,0
3574689,ru,NA,"Северная Америка",TT,"Тринидад и Тобаго",SGE,"","","","","",America/Port_of_Spain,0
3576569,ru,NA,"Северная Америка",LC,"Сент-Люсия",08,"Микуд","","","","",America/St_Lucia,0
3576810,ru,NA,"Северная Америка",LC,"Сент-Люсия",02,"Кастри","","","","",America/St_Lucia,0
3576891,ru,NA,"Северная Америка",LC,"Сент-Люсия",01,"","","","","",America/St_Lucia,0
3622765,ru,NA,"Северная Америка",CR,"Коста-Рика",G,"","","","","",America/Costa_Rica,0
3625008,ru,NA,"Северная Америка",CR,"Коста-Рика",H,"","","","","",America/Costa_Rica,0
3649397,ru,SA,"Южная Америка",VE,"Венесуэла",G,"","","","","",America/Caracas,0
3667887,ru,SA,"Южная Америка",CO,"Колумбия",SAN,"","","","","",America/Bogota,0
3668454,ru,SA,"Южная Америка",CO,"Колумбия",RIS,"","","","Санта-Роса-де-Кабаль","",America/Bogota,0
3671418,ru,SA,"Южная Америка",CO,"Колумбия",MET,"","","","","",America/Bogota,0
3672651,ru,SA,"Южная Америка",CO,"Колумбия",BOY,"","","","","",America/Bogota,0
3674676,ru,SA,"Южная Америка",CO,"Колумбия",VAU,"","","","","",America/Bogota,0
3685413,ru,SA,"Южная Америка",CO,"Колумбия",CUN,"","","","","",America/Bogota,0
3685649,ru,SA,"Южная Америка",CO,"Колумбия",ANT,"","","","","",America/Bogota,0
